               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  37,              1.3847,              2.4437,              1.4129,             0.54594,             0.21681,             0.23483,             0.15569,              1.9943,               2.674,              1.9262,            0.006436,            0.006436,            0.006436
                  38,              1.3837,              2.4394,              1.4178,             0.39784,             0.23329,             0.22915,             0.14508,              2.0026,              2.6152,               1.947,            0.006337,            0.006337,            0.006337
                  39,              1.3886,              2.4279,              1.4019,             0.38824,             0.24086,             0.23971,             0.15939,              1.9604,              2.5801,              1.8959,            0.006238,            0.006238,            0.006238
                  40,              1.3801,              2.4113,              1.3997,             0.40478,             0.25793,             0.23733,             0.15634,              1.9818,              2.5431,              1.9161,            0.006139,            0.006139,            0.006139
                  41,              1.3581,              2.4098,              1.3967,             0.51899,             0.23097,             0.23459,              0.1578,              1.9634,               2.628,              1.9004,             0.00604,             0.00604,             0.00604
                  42,              1.3674,              2.4231,              1.3941,             0.41421,             0.24513,             0.24513,             0.16128,              1.9862,              2.5625,              1.9053,            0.005941,            0.005941,            0.005941
                  43,              1.3474,              2.3948,              1.3885,             0.42172,             0.24039,             0.24644,             0.16155,              1.9643,              2.5389,              1.8946,            0.005842,            0.005842,            0.005842
                  44,              1.3295,              2.3652,              1.3793,             0.40715,             0.24199,             0.23896,             0.15737,              1.9526,              2.6052,              1.8696,            0.005743,            0.005743,            0.005743
                  45,              1.3106,              2.3449,               1.367,             0.54287,             0.24486,             0.24916,             0.16804,              1.9349,              2.5517,               1.858,            0.005644,            0.005644,            0.005644
                  46,              1.3203,              2.3485,              1.3804,             0.41532,             0.24827,             0.25028,             0.16503,              1.9962,              2.5263,              1.9122,            0.005545,            0.005545,            0.005545
                  47,              1.3492,              2.3497,              1.3826,             0.41125,             0.25386,             0.25424,             0.16572,               1.935,              2.4719,               1.855,            0.005446,            0.005446,            0.005446
                  48,              1.3117,              2.3593,              1.3645,             0.47189,             0.25243,             0.25961,             0.16824,              1.9392,              2.5016,              1.8872,            0.005347,            0.005347,            0.005347
                  49,              1.3303,              2.3497,              1.3698,              0.4132,             0.26088,             0.26345,             0.17123,              1.9302,              2.5061,              1.8564,            0.005248,            0.005248,            0.005248
